Index,Patch,Oracle,Predicted value
0,correct/patch1-Chart-1-AVATAR.patch,correct,overfitting
1,correct/patch1-Chart-1-SequenceR.patch,correct,overfitting
2,correct/patch1-Chart-1-dev.patch,correct,overfitting
3,correct/patch1-Chart-10-dev.patch,correct,correct
4,correct/patch1-Chart-11-AVATAR.patch,correct,correct
5,correct/patch1-Chart-11-SketchFix.patch,correct,correct
6,correct/patch1-Chart-11-dev.patch,correct,correct
7,correct/patch1-Chart-12-Arja.patch,correct,overfitting
8,correct/patch1-Chart-12-dev.patch,correct,overfitting
9,correct/patch1-Chart-13-dev.patch,correct,overfitting
10,correct/patch1-Chart-14-ACS.patch,correct,overfitting
11,correct/patch1-Chart-14-dev.patch,correct,overfitting
12,correct/patch1-Chart-15-dev.patch,correct,overfitting
13,correct/patch1-Chart-16-dev.patch,correct,overfitting
14,correct/patch1-Chart-17-dev.patch,correct,overfitting
15,correct/patch1-Chart-18-dev.patch,correct,overfitting
16,correct/patch1-Chart-19-ACS.patch,correct,overfitting
17,correct/patch1-Chart-19-dev.patch,correct,overfitting
18,correct/patch1-Chart-2-dev.patch,correct,correct
19,correct/patch1-Chart-20-SimFix.patch,correct,correct
20,correct/patch1-Chart-20-TBar.patch,correct,overfitting
21,correct/patch1-Chart-20-dev.patch,correct,overfitting
22,correct/patch1-Chart-21-dev.patch,correct,overfitting
23,correct/patch1-Chart-22-dev.patch,correct,overfitting
24,correct/patch1-Chart-23-dev.patch,correct,overfitting
25,correct/patch1-Chart-24-AVATAR.patch,correct,overfitting
26,correct/patch1-Chart-24-FixMiner.patch,correct,overfitting
27,correct/patch1-Chart-24-Jaid.patch,correct,overfitting
28,correct/patch1-Chart-24-SOFix.patch,correct,overfitting
29,correct/patch1-Chart-24-dev.patch,correct,overfitting
30,correct/patch1-Chart-25-dev.patch,correct,overfitting
31,correct/patch1-Chart-26-Jaid.patch,correct,correct
32,correct/patch1-Chart-26-SOFix.patch,correct,correct
33,correct/patch1-Chart-26-dev.patch,correct,correct
34,correct/patch1-Chart-3-dev.patch,correct,correct
35,correct/patch1-Chart-4-AVATAR.patch,correct,overfitting
36,correct/patch1-Chart-4-SOFix.patch,correct,overfitting
37,correct/patch1-Chart-4-dev.patch,correct,overfitting
38,correct/patch1-Chart-5-Nopol2015.patch,correct,correct
39,correct/patch1-Chart-5-dev.patch,correct,overfitting
40,correct/patch1-Chart-6-dev.patch,correct,correct
41,correct/patch1-Chart-7-SimFix.patch,correct,overfitting
42,correct/patch1-Chart-7-dev.patch,correct,overfitting
43,correct/patch1-Chart-8-SketchFix.patch,correct,overfitting
44,correct/patch1-Chart-8-dev.patch,correct,overfitting
45,correct/patch1-Chart-9-Jaid.patch,correct,overfitting
46,correct/patch1-Chart-9-SequenceR.patch,correct,overfitting
47,correct/patch1-Chart-9-SketchFix.patch,correct,overfitting
48,correct/patch1-Chart-9-TBar.patch,correct,overfitting
49,correct/patch1-Chart-9-dev.patch,correct,overfitting
50,correct/patch1-Closure-1-dev.patch,correct,correct
51,correct/patch1-Closure-10-dev.patch,correct,overfitting
52,correct/patch1-Closure-100-dev.patch,correct,overfitting
53,correct/patch1-Closure-101-dev.patch,correct,overfitting
54,correct/patch1-Closure-102-dev.patch,correct,correct
55,correct/patch1-Closure-103-dev.patch,correct,overfitting
56,correct/patch1-Closure-104-dev.patch,correct,correct
57,correct/patch1-Closure-105-dev.patch,correct,correct
58,correct/patch1-Closure-106-dev.patch,correct,correct
59,correct/patch1-Closure-107-dev.patch,correct,overfitting
60,correct/patch1-Closure-108-dev.patch,correct,correct
61,correct/patch1-Closure-109-dev.patch,correct,overfitting
62,correct/patch1-Closure-11-dev.patch,correct,correct
63,correct/patch1-Closure-110-dev.patch,correct,overfitting
64,correct/patch1-Closure-111-dev.patch,correct,correct
65,correct/patch1-Closure-112-dev.patch,correct,overfitting
66,correct/patch1-Closure-113-dev.patch,correct,correct
67,correct/patch1-Closure-114-dev.patch,correct,overfitting
68,correct/patch1-Closure-115-AVATAR.patch,correct,overfitting
69,correct/patch1-Closure-115-Arja.patch,correct,correct
70,correct/patch1-Closure-115-Kali.patch,correct,overfitting
71,correct/patch1-Closure-115-RSRepair.patch,correct,correct
72,correct/patch1-Closure-115-SimFix.patch,correct,overfitting
73,correct/patch1-Closure-115-dev.patch,correct,overfitting
74,correct/patch1-Closure-116-dev.patch,correct,overfitting
75,correct/patch1-Closure-117-dev.patch,correct,overfitting
76,correct/patch1-Closure-118-dev.patch,correct,correct
77,correct/patch1-Closure-119-dev.patch,correct,correct
78,correct/patch1-Closure-12-dev.patch,correct,overfitting
79,correct/patch1-Closure-120-dev.patch,correct,correct
80,correct/patch1-Closure-121-dev.patch,correct,correct
81,correct/patch1-Closure-122-dev.patch,correct,overfitting
82,correct/patch1-Closure-123-dev.patch,correct,overfitting
83,correct/patch1-Closure-124-dev.patch,correct,overfitting
84,correct/patch1-Closure-125-dev.patch,correct,overfitting
85,correct/patch1-Closure-126-Arja.patch,correct,overfitting
86,correct/patch1-Closure-126-GenProg.patch,correct,overfitting
87,correct/patch1-Closure-126-RSRepair.patch,correct,overfitting
88,correct/patch1-Closure-126-SketchFix.patch,correct,overfitting
89,correct/patch1-Closure-126-dev.patch,correct,overfitting
90,correct/patch1-Closure-126-jKali.patch,correct,overfitting
91,correct/patch1-Closure-127-dev.patch,correct,overfitting
92,correct/patch1-Closure-128-dev.patch,correct,overfitting
93,correct/patch1-Closure-129-dev.patch,correct,overfitting
94,correct/patch1-Closure-13-dev.patch,correct,overfitting
95,correct/patch1-Closure-130-dev.patch,correct,overfitting
96,correct/patch1-Closure-131-dev.patch,correct,overfitting
97,correct/patch1-Closure-132-dev.patch,correct,correct
98,correct/patch1-Closure-133-dev.patch,correct,correct
99,correct/patch1-Closure-14-dev.patch,correct,overfitting
100,correct/patch1-Closure-15-dev.patch,correct,overfitting
101,correct/patch1-Closure-16-dev.patch,correct,correct
102,correct/patch1-Closure-17-dev.patch,correct,overfitting
103,correct/patch1-Closure-18-Jaid.patch,correct,overfitting
104,correct/patch1-Closure-18-SequenceR.patch,correct,overfitting
105,correct/patch1-Closure-18-dev.patch,correct,overfitting
106,correct/patch1-Closure-19-SimFix.patch,correct,overfitting
107,correct/patch1-Closure-19-dev.patch,correct,correct
108,correct/patch1-Closure-2-AVATAR.patch,correct,overfitting
109,correct/patch1-Closure-2-dev.patch,correct,overfitting
110,correct/patch1-Closure-20-dev.patch,correct,correct
111,correct/patch1-Closure-21-dev.patch,correct,overfitting
112,correct/patch1-Closure-22-dev.patch,correct,overfitting
113,correct/patch1-Closure-23-dev.patch,correct,correct
114,correct/patch1-Closure-24-dev.patch,correct,overfitting
115,correct/patch1-Closure-25-dev.patch,correct,overfitting
116,correct/patch1-Closure-26-dev.patch,correct,overfitting
117,correct/patch1-Closure-27-dev.patch,correct,overfitting
118,correct/patch1-Closure-28-dev.patch,correct,correct
119,correct/patch1-Closure-29-dev.patch,correct,correct
120,correct/patch1-Closure-3-dev.patch,correct,correct
121,correct/patch1-Closure-30-dev.patch,correct,correct
122,correct/patch1-Closure-31-Jaid.patch,correct,overfitting
123,correct/patch1-Closure-31-dev.patch,correct,overfitting
