Index,Patch,Oracle,Predicted value
0,correct/patch1-Chart-1-AVATAR.patch,correct,correct
1,correct/patch1-Chart-1-SequenceR.patch,correct,overfitting
2,correct/patch1-Chart-1-dev.patch,correct,overfitting
3,correct/patch1-Chart-10-dev.patch,correct,correct
4,correct/patch1-Chart-11-AVATAR.patch,correct,correct
5,correct/patch1-Chart-11-SketchFix.patch,correct,correct
6,correct/patch1-Chart-11-dev.patch,correct,correct
7,correct/patch1-Chart-12-Arja.patch,correct,correct
8,correct/patch1-Chart-12-dev.patch,correct,correct
9,correct/patch1-Chart-13-dev.patch,correct,correct
10,correct/patch1-Chart-14-ACS.patch,correct,overfitting
11,correct/patch1-Chart-14-dev.patch,correct,correct
12,correct/patch1-Chart-15-dev.patch,correct,correct
13,correct/patch1-Chart-16-dev.patch,correct,correct
14,correct/patch1-Chart-17-dev.patch,correct,correct
15,correct/patch1-Chart-18-dev.patch,correct,correct
16,correct/patch1-Chart-19-ACS.patch,correct,correct
17,correct/patch1-Chart-19-dev.patch,correct,correct
18,correct/patch1-Chart-2-dev.patch,correct,correct
19,correct/patch1-Chart-20-SimFix.patch,correct,correct
20,correct/patch1-Chart-20-TBar.patch,correct,overfitting
21,correct/patch1-Chart-20-dev.patch,correct,correct
22,correct/patch1-Chart-21-dev.patch,correct,overfitting
23,correct/patch1-Chart-22-dev.patch,correct,correct
24,correct/patch1-Chart-23-dev.patch,correct,correct
25,correct/patch1-Chart-24-AVATAR.patch,correct,correct
26,correct/patch1-Chart-24-FixMiner.patch,correct,correct
27,correct/patch1-Chart-24-Jaid.patch,correct,overfitting
28,correct/patch1-Chart-24-SOFix.patch,correct,correct
29,correct/patch1-Chart-24-dev.patch,correct,overfitting
30,correct/patch1-Chart-25-dev.patch,correct,correct
31,correct/patch1-Chart-26-Jaid.patch,correct,correct
32,correct/patch1-Chart-26-SOFix.patch,correct,overfitting
33,correct/patch1-Chart-26-dev.patch,correct,correct
34,correct/patch1-Chart-3-dev.patch,correct,overfitting
35,correct/patch1-Chart-4-AVATAR.patch,correct,correct
36,correct/patch1-Chart-4-SOFix.patch,correct,correct
37,correct/patch1-Chart-4-dev.patch,correct,correct
38,correct/patch1-Chart-5-Nopol2015.patch,correct,correct
39,correct/patch1-Chart-5-dev.patch,correct,overfitting
40,correct/patch1-Chart-6-dev.patch,correct,correct
41,correct/patch1-Chart-7-SimFix.patch,correct,correct
42,correct/patch1-Chart-7-dev.patch,correct,correct
43,correct/patch1-Chart-8-SketchFix.patch,correct,correct
44,correct/patch1-Chart-8-dev.patch,correct,correct
45,correct/patch1-Chart-9-Jaid.patch,correct,correct
46,correct/patch1-Chart-9-SequenceR.patch,correct,correct
47,correct/patch1-Chart-9-SketchFix.patch,correct,correct
48,correct/patch1-Chart-9-TBar.patch,correct,overfitting
49,correct/patch1-Chart-9-dev.patch,correct,overfitting
50,correct/patch1-Closure-1-dev.patch,correct,correct
51,correct/patch1-Closure-10-dev.patch,correct,overfitting
