Index,Patch,Oracle,Predicted value
0,correct/A/5312e.java,correct,correct
1,correct/A/fc6e2.java,correct,correct
2,correct/A3CCartpole/7d0c5.java,correct,correct
3,correct/AArch64AtomicMove/50762.java,correct,correct
4,correct/AArch64AtomicMove/72b7e.java,correct,correct
5,correct/AArch64AtomicMove/ff6b8.java,correct,correct
6,correct/AArch64HotSpotMove/61ce0.java,correct,correct
7,correct/AArch64MNegTest/3920c.java,correct,overfitting
8,correct/AArch64MacroAssembler/61ce0.java,correct,correct
9,correct/ABTests/57bdc.java,correct,correct
10,correct/ACRA/444ab.java,correct,correct
11,correct/ACRA/c7615.java,correct,correct
12,correct/ADTA28Handler/70c05.java,correct,correct
13,correct/ADTA28Handler/ac696.java,correct,overfitting
14,correct/ADTA28Handler/cd16d.java,correct,correct
15,correct/ADTA28Handler/d7a2f.java,correct,overfitting
16,correct/AESCrypto/75fef.java,correct,correct
17,correct/AIMConnector/54e24.java,correct,correct
18,correct/AIMSICD/4b35a.java,correct,correct
19,correct/AIMSICD/60184.java,correct,correct
20,correct/AIMSICD/dded0.java,correct,correct
21,correct/AIRobotRecharge/a14eb.java,correct,correct
22,correct/AIRobotSearchBlockBase/dd686.java,correct,correct
23,correct/AIRobotSearchBlockBase/e8fd4.java,correct,correct
24,correct/AMD64ArithmeticLIRGenerator/4a48e.java,correct,correct
25,correct/AMD64Assembler/da9e9.java,correct,correct
26,correct/AMD64ConvertFIOpcode/3e85a.java,correct,correct
27,correct/AMD64ConvertFLOpcode/3e85a.java,correct,correct
28,correct/AMD64HotSpotLIRGenerator/202be.java,correct,correct
29,correct/AMD64HotSpotLIRGenerator/3b614.java,correct,correct
30,correct/AMD64LIRGenerator/3b614.java,correct,correct
31,correct/AMD64StringSubstitutions/3a25e.java,correct,correct
32,correct/AMD64StringSubstitutions/43acc.java,correct,correct
33,correct/AMD64VerifyOopStubCallOp/fa58a.java,correct,correct
34,correct/AMDefaultImageScaler/b216f.java,correct,correct
35,correct/AMQ2240Test/df5a5.java,correct,correct
36,correct/AMQ2645Test/5555f.java,correct,correct
37,correct/AMQ2832Test/daea1.java,correct,correct
38,correct/AMQ5914Test/4d6cc.java,correct,correct
