Index,Patch,Oracle,Predicted value
0,correct/patch1-Chart-1-AVATAR.patch,correct,correct
1,correct/patch1-Chart-1-SequenceR.patch,correct,overfitting
2,correct/patch1-Chart-1-dev.patch,correct,correct
3,correct/patch1-Chart-10-dev.patch,correct,overfitting
4,correct/patch1-Chart-11-AVATAR.patch,correct,overfitting
5,correct/patch1-Chart-11-SketchFix.patch,correct,overfitting
6,correct/patch1-Chart-11-dev.patch,correct,correct
7,correct/patch1-Chart-12-Arja.patch,correct,overfitting
8,correct/patch1-Chart-12-dev.patch,correct,overfitting
9,correct/patch1-Chart-13-dev.patch,correct,overfitting
10,correct/patch1-Chart-14-ACS.patch,correct,overfitting
11,correct/patch1-Chart-14-dev.patch,correct,correct
12,correct/patch1-Chart-15-dev.patch,correct,overfitting
13,correct/patch1-Chart-16-dev.patch,correct,overfitting
14,correct/patch1-Chart-17-dev.patch,correct,correct
15,correct/patch1-Chart-18-dev.patch,correct,overfitting
16,correct/patch1-Chart-19-ACS.patch,correct,overfitting
17,correct/patch1-Chart-19-dev.patch,correct,overfitting
18,correct/patch1-Chart-2-dev.patch,correct,overfitting
19,correct/patch1-Chart-20-SimFix.patch,correct,overfitting
20,correct/patch1-Chart-20-TBar.patch,correct,overfitting
21,correct/patch1-Chart-20-dev.patch,correct,overfitting
22,correct/patch1-Chart-21-dev.patch,correct,overfitting
23,correct/patch1-Chart-22-dev.patch,correct,overfitting
24,correct/patch1-Chart-23-dev.patch,correct,overfitting
25,correct/patch1-Chart-24-AVATAR.patch,correct,overfitting
26,correct/patch1-Chart-24-FixMiner.patch,correct,overfitting
27,correct/patch1-Chart-24-Jaid.patch,correct,overfitting
28,correct/patch1-Chart-24-SOFix.patch,correct,correct
29,correct/patch1-Chart-24-dev.patch,correct,correct
30,correct/patch1-Chart-25-FixMiner.patch,correct,correct
31,correct/patch1-Chart-25-GenProg.patch,correct,overfitting
32,correct/patch1-Chart-25-Kali.patch,correct,correct
33,correct/patch1-Chart-25-Nopol.patch,correct,overfitting
34,correct/patch1-Chart-25-Nopol2015.patch,correct,correct
35,correct/patch1-Chart-25-Nopol2017.patch,correct,overfitting
36,correct/patch1-Chart-25-RSRepair.patch,correct,overfitting
37,correct/patch1-Chart-25-SimFix.patch,correct,overfitting
38,correct/patch1-Chart-25-dev.patch,correct,correct
39,correct/patch1-Chart-25-jGenProg.patch,correct,overfitting
40,correct/patch1-Chart-25-jKali.patch,correct,correct
41,correct/patch1-Chart-25-jMutRepair.patch,correct,overfitting
42,correct/patch1-Chart-26-AVATAR.patch,correct,overfitting
43,correct/patch1-Chart-26-FixMiner.patch,correct,overfitting
44,correct/patch1-Chart-26-Jaid.patch,correct,correct
45,correct/patch1-Chart-26-Jaid.patch,correct,overfitting
46,correct/patch1-Chart-26-Kali.patch,correct,overfitting
47,correct/patch1-Chart-26-Nopol2015.patch,correct,overfitting
48,correct/patch1-Chart-26-Nopol2017.patch,correct,overfitting
49,correct/patch1-Chart-26-SOFix.patch,correct,overfitting
